[4S, 8C, 9H, TS, KC]         [2S, 3S, 5D, 7D, AC]        player2 win
[5D, 5C, 6S, 7H, 9H]         [6C, 9S, JC, QC, QD]        player2 win
[2C, 6S, JC, JH, QS]         [3D, 4S, 9C, TC, QC]        player1 win
[3D, 4H, 4D, 5S, 8D]         [2S, 2H, 2C, JS, KC]        player2 win
[3S, 4D, TD, TH, KD]         [7H, JH, JS, KS, AC]        player2 win
[2D, 7S, 8C, 8S, 9S]         [5C, 7D, 9D, AD, AS]        player2 win
[2S, 6C, 7H, 8C, TH]         [3H, 3S, 4C, 8H, AC]        player2 win
[5H, 8H, JC, JD, KD]         [2D, 4H, 5C, TD, JH]        player1 win
[3D, 7H, QH, KS, AS]         [5S, 5H, 6D, 8S, JD]        player2 win
[6S, 9S, TC, JC, QS]         [5C, 5D, 8C, 9C, TH]        player2 win
[2S, 3S, 5H, 9H, JH]         [2C, 6S, 7S, KS, AS]        player2 win
[8C, TC, JC, QD, QS]         [4H, 6C, QC, KH, AC]        player1 win
[4H, 5H, 7D, TC, JH]         [2H, 4D, 8D, JC, KS]        player2 win
[5S, 9C, 9H, KH, KD]         [2D, 3D, 5C, 7D, TS]        player1 win
[4D, 5H, 8C, TC, AS]         [2C, 3H, 8D, 9D, TS]        player1 win
[2D, 6H, 8D, 9H, JD]         [4S, 5H, 5S, 6C, 6D]        player2 win
[6H, 7D, 9C, JC, AD]         [3C, 6D, 9S, 9H, JS]        player2 win
[4C, TC, JH, QS, AD]         [5D, 7C, 9S, 9C, AH]        player2 win
[2H, 6H, 8S, TH, KD]         [9D, 9H, QD, KS, AS]        player2 win
[4H, 5H, 6C, 8H, 8D]         [5S, 8S, AH, AS, AD]        player2 win
[2H, 4S, 5D, TD, QS]         [3H, 5H, JC, KS, AC]        player2 win
[7D, 9C, QD, KD, AC]         [5H, 5S, 6D, 6H, QH]        player2 win
[2H, 7D, QH, KC, AH]         [3H, 7S, JD, QS, KS]        player1 win
[3H, 6C, 6D, 8S, KS]         [5D, 5C, 8H, TC, QD]        player1 win
[4D, 4S, 6S, 9H, 9D]         [4H, 6C, JD, QC, KH]        player1 win
[2D, 4S, 6H, TD, QH]         [3C, 8C, JH, QD, KD]        player2 win
[4S, 6H, 7C, 9D, QD]         [3C, 6S, AS, AH, AD]        player2 win
[2C, 6H, 8D, TH, KC]         [5C, 5D, 6D, 8S, AH]        player2 win
[7C, TD, TS, JC, AD]         [3C, 7H, 9H, QD, KC]        player1 win
[4D, 4H, 5D, 5S, 8H]         [2D, 3H, 7D, JD, KD]        player1 win
[4S, 6H, TD, JH, QS]         [5C, 7D, 8S, 8H, KD]        player2 win
[3D, 8C, TD, AC, AS]         [5D, 6C, 7H, JD, KH]        player1 win
[6D, 7C, 9D, QH, KS]         [TC, JD, KD, KC, AS]        player2 win
[5S, 7S, 7D, 8S, JH]         [2D, 2H, 3D, AS, AD]        player2 win
[2H, 3C, 5D, QD, AS]         [2C, 6H, 9H, 9S, KC]        player2 win
[4C, 5D, 9D, TH, JH]         [3H, 8D, 8H, 9H, TC]        player2 win
[2C, 2H, 6H, TD, KD]         [2D, 6C, 8C, 9D, JS]        player1 win
[3C, 7S, 7C, KD, AS]         [2S, 8C, TS, QH, AD]        player1 win
[4C, 6C, 8H, JS, QS]         [9S, TD, TS, QC, AD]        player2 win
[2H, 7C, 8C, TS, TC]         [2D, 3C, 6D, 9H, JC]        player1 win
[2H, 8D, TC, JH, KS]         [3H, 6D, 8H, TD, TH]        player2 win
[5D, 9D, 9H, TD, QC]         [6C, 8H, 8C, TS, KC]        player1 win
[2H, 3D, 4D, 8C, AH]         [7D, 8H, TH, TC, KC]        player2 win
[2D, 5C, 6S, 8C, TS]         [5H, 6H, KH, KC, AH]        player2 win
[4C, 5S, 5D, TC, AH]         [6H, 6C, 8D, 8C, JD]        player2 win
[2D, 3D, 8H, QD, KC]         [2S, 4H, 9H, JC, AD]        player2 win
[6S, 7D, TD, JS, KD]         [2S, 3S, 4H, 8C, QS]        player1 win
[3S, 4C, 9H, TS, JH]         [4H, 5S, 9S, 9C, QC]        player2 win
[2C, 9H, 9S, JS, KD]         [3H, 5D, TS, JC, AC]        player1 win
[2H, 5D, 5H, AS, AD]         [4C, 7S, TD, JC, JS]        player1 win
[2D, 3D, 4S, 7D, 8H]         [2C, 9C, TS, KD, AD]        player2 win
[5H, 7H, JH, JS, QD]         [3D, 4C, 8H, TH, AC]        player1 win
[5C, 6D, QD, KH, KC]         [2D, 4H, 7C, AD, AC]        player2 win
[3D, 8S, 9D, TC, QD]         [2C, 4H, JC, JD, AH]        player2 win
[5S, 6C, 8S, TD, TC]         [2C, 5D, AH, AS, AC]        player2 win
[3D, 6C, 7S, TH, AS]         [4C, 4H, 7H, 7D, AH]        player2 win
[2H, 5C, 6H, 7S, KS]         [3D, 3C, 4H, 5H, 7H]        player2 win
[3C, 7S, 9S, QH, AC]         [2H, 3D, 3S, 3H, 6S]        player2 win
[2D, 2C, 3H, 6H, AS]         [6S, 6C, 9C, TC, JS]        player2 win
[6D, QH, QD, KD, AC]         [2C, 6H, 8C, TS, KH]        player1 win
[3S, 5D, 7D, 8H, 9H]         [3H, 4S, 5H, 9S, QC]        player2 win
[2D, 3C, 6H, 7H, 9D]         [3S, 4D, 4S, 5H, 8S]        player2 win
[4S, 7S, 9S, TC, KD]         [2H, 3S, 7H, 8S, QC]        player1 win
[3D, 3H, 6C, 8C, TC]         [2H, 4D, 6H, KS, KD]        player2 win
[3D, 3H, 9S, JS, KC]         [2D, 4S, 6C, 8H, 8S]        player2 win
[6H, 6C, TC, QS, QD]         [4D, 5H, 7D, 7C, 9H]        player1 win
[6S, 6C, 8D, 9D, TD]         [5D, 8H, TC, TS, JS]        player2 win
[4H, 9H, TC, JD, KC]         [2C, 5H, 6S, 8H, AS]        player2 win
[5C, 6S, 9C, 9D, JS]         [4C, 6D, 8H, JD, KC]        player1 win
[4D, 6C, 7C, 8D, 8S]         [5C, 6H, 7H, 8H, KC]        player1 win
[3D, 6D, TC, JC, KS]         [2C, 6H, 7S, 9S, 9C]        player2 win
[3S, 5H, 6C, TS, KD]         [6H, 7D, 9H, 9S, KH]        player2 win
[3D, 4C, 6H, TS, QD]         [2H, 3S, 5C, KD, AC]        player2 win
[4C, 7C, 9S, JS, AS]         [7H, 9H, TS, JC, KS]        player1 win
[3H, 4H, 6H, 8C, JD]         [4S, 5S, 9S, KS, AD]        player2 win
[2C, 3D, 4C, 7D, AS]         [2S, 6C, 9C, QS, KC]        player1 win
[2S, 3D, 5H, 8S, AC]         [3S, 4D, 6S, 9D, TD]        player1 win
[3D, 7S, TH, TS, QD]         [5D, 6C, 7H, QC, AC]        player1 win
[9C, TC, QD, QS, AD]         [3D, 3C, 5C, 8D, KD]        player1 win
[3S, 7C, 8H, 9D, AS]         [2D, 8S, 8D, JD, KC]        player2 win
[4C, TH, JS, QH, AC]         [7D, 7S, 8D, 9C, KH]        player2 win
[2C, 4C, 8D, 9D, JH]         [2S, 4H, TS, QD, KD]        player2 win
[2D, 4D, 5D, 6D, JH]         [3S, 3H, 8S, TC, KH]        player2 win
[2C, 4D, 8C, QS, AD]         [5C, JH, JD, KD, AH]        player2 win
[2H, 5C, 5H, 6C, JH]         [3H, 4H, 7C, TC, KS]        player1 win
[3C, 4C, 5D, JH, QC]         [8D, 9C, TC, QD, KH]        player2 win
[3H, 7H, 9C, JS, QH]         [5H, 7C, 9H, JC, AS]        player2 win
[2D, 3C, 4S, 5S, QD]         [4C, 5C, 6S, 6C, KC]        player2 win
[2D, 5D, 8S, TS, KH]         [4C, 7C, 9C, 9S, AS]        player2 win
[5S, 7C, 8C, 8D, AH]         [2C, JH, QH, QS, KD]        player2 win
[2H, 8C, 9D, AH, AC]         [2C, 5S, 7H, 8H, QC]        player1 win
[5S, 9H, QD, QS, QC]         [4H, 5H, 9C, TH, JC]        player1 win
[3H, 3S, 5H, 6C, 6S]         [6H, 7S, 8D, KS, AC]        player1 win
[4S, 7H, 8C, QH, AC]         [3D, 3S, 6C, TC, KC]        player2 win
[3D, 9D, TH, JS, AC]         [3H, 3S, 5H, 8S, TC]        player2 win
[9S, JS, QD, KH, KS]         [3C, 8D, QC, AH, AC]        player2 win
[3S, 5H, 6C, 9S, KH]         [2D, 8C, JH, QD, AS]        player2 win
[4D, 5S, 6C, 7S, 7H]         [4H, 6S, 9H, JC, JH]        player2 win
[5S, 6H, 9S, AH, AD]         [2H, 3S, 8C, 9D, TH]        player1 win
[4C, 7C, 8D, 9H, QC]         [4S, 5S, 9C, KC, AD]        player2 win
[4D, 4C, 6H, 9D, TC]         [2S, 3S, 5D, JH, AS]        player1 win
[2H, 5C, 6C, 7C, KH]         [8S, TH, JD, QS, AD]        player2 win
[3S, 4S, 7S, AH, AS]         [2S, TH, JS, KC, AD]        player1 win
[2S, 7D, 8C, JS, KC]         [5C, 5H, 9C, 9D, TS]        player2 win
[4D, 7S, 9S, TD, JH]         [2C, 5D, 6H, JS, KH]        player2 win
[2D, TH, JD, JS, JC]         [3D, 5H, 8C, QD, AC]        player1 win
[5S, 5D, 7S, 9D, KH]         [2D, 3C, 4S, 6H, TD]        player1 win
[4S, 4D, 5D, 8D, AC]         [7C, 9C, AD, AS, AH]        player2 win
[2C, 6S, TH, TS, KS]         [3C, 4S, QC, AH, AS]        player2 win
[2H, 3S, 5C, 8C, JC]         [3H, 3C, 7C, JH, KH]        player2 win
[3H, 5S, 6H, 7S, JC]         [2S, 4C, 4D, 7H, KC]        player2 win
[4D, 4H, 7C, 8S, 9S]         [6S, 6C, TC, JC, AD]        player2 win
[3S, 4C, TC, QS, KH]         [3C, 8H, 8S, TS, AC]        player2 win
[3C, TH, TS, QD, QS]         [7H, 7D, TD, JC, AH]        player1 win
[4D, 9S, TD, JD, QC]         [7S, 7D, TS, AD, AC]        player2 win
[4S, 6D, 7H, 7C, AH]         [2H, 9D, TD, JC, KS]        player1 win
[4H, 6D, 7C, JD, AH]         [2H, 2C, 5C, TS, QS]        player2 win
[4C, 8C, 9S, TC, KC]         [3C, 6S, JS, JC, AH]        player2 win
[3D, 5S, 7D, QC, AS]         [9D, TD, JC, JD, KH]        player2 win
[2S, 3C, 6H, TH, AH]         [5H, 5C, 7S, 8H, AC]        player2 win
[2D, 2S, QC, QD, AC]         [3S, 6S, 8H, JD, QS]        player1 win
[3C, 4H, 9D, JS, KC]         [3S, 6H, 8S, 8C, AS]        player2 win
[2H, 7H, 7D, JD, KC]         [3H, 5S, JC, QH, QS]        player2 win
[3S, 7S, 8H, 9H, TD]         [5C, 6C, 7C, AC, AH]        player2 win
[8D, 9H, TD, JD, AH]         [3S, 7D, 8S, 9C, QS]        player1 win
[3C, JD, QH, KC, AH]         [4S, 5S, 5D, TD, KS]        player2 win
[6S, 7H, 9H, TH, JH]         [2D, 4C, 5C, 7C, AD]        player2 win
[5S, 7C, 9D, TC, KD]         [2S, 5D, 6S, 6C, TH]        player2 win
[5H, 7H, 8D, 9H, KC]         [3D, 4H, 7C, QC, AS]        player2 win
[4S, 6S, 8S, TD, QC]         [2S, 5C, TH, QS, QD]        player2 win
[5H, 8S, 9H, TH, QC]         [5C, 6S, 7D, 7C, KC]        player2 win
[4D, 7H, KD, KH, AH]         [2D, 4S, 5C, QH, KC]        player1 win
[2C, 6S, TD, JC, AS]         [4D, 4H, 5S, 6C, 8C]        player2 win
[5S, 6S, TC, JC, JD]         [3S, 8D, 9D, AS, AD]        player2 win
[5D, 5S, 6D, 6H, TC]         [3D, 7D, 9D, QS, QD]        player1 win
[3S, 4S, 6C, 7S, 8S]         [2D, 7D, 7C, KS, AD]        player2 win
[JC, QH, QD, KC, AC]         [5D, 7H, 7D, 8D, QS]        player1 win
[3D, 5H, 8S, JS, AH]         [3H, 4S, 6C, TD, JH]        player1 win
[4S, 7D, 9H, QS, AS]         [5C, 6D, TC, JS, KS]        player1 win
[2D, 4D, 5C, 6H, TC]         [3D, 6C, 8S, 9H, QH]        player2 win
[5S, 6D, 7H, TC, TH]         [5C, 9C, JD, KS, KD]        player2 win
[4S, 6S, 8D, TD, QH]         [5C, 6C, 8S, TC, KC]        player2 win
[3D, 4S, 5S, KS, AC]         [2S, 4C, 7D, TH, QD]        player1 win
[6S, 7S, 8H, 9S, TS]         [3C, 7H, 8C, QH, AH]        player1 win
[4C, 8C, TS, JS, QC]         [3D, 5D, 7D, 7S, JH]        player2 win
[7S, 8S, 9D, QC, AC]         [2H, 6D, 7C, JH, KC]        player1 win
[3C, 4S, 6S, JS, KD]         [5H, 7C, QC, KS, AH]        player2 win
[4H, 6S, JD, QS, KS]         [6H, 8H, TC, KC, AS]        player2 win
[6S, 7C, TC, TD, KH]         [3S, 5C, 7D, JC, AH]        player1 win
[3H, 4C, 4H, TC, TH]         [6S, 6D, 7H, 9C, QH]        player1 win
[4S, 5H, 7D, 8C, JS]         [3D, 4D, 8S, QH, KC]        player2 win
[3H, 3S, 6S, 7H, AD]         [4S, 7S, 8S, JS, QC]        player1 win
[3S, 6H, TH, JD, KH]         [2D, 6C, 9C, QS, QD]        player2 win
[4S, 4D, 5H, QH, KC]         [5S, 6D, 7D, 8D, TH]        player1 win
[6S, 7H, TD, KD, AD]         [5S, 9H, JC, KH, KC]        player2 win
[3H, 4S, TS, QC, AS]         [7S, 9C, QD, KS, KC]        player2 win
[6S, 6C, TS, TH, QC]         [5C, 5D, 9D, TC, KD]        player1 win
[3S, 4H, 4C, JS, KD]         [6D, 9S, 9D, JC, QD]        player2 win
[4H, 6D, 8S, JS, JH]         [6H, 6S, 6C, KS, KH]        player2 win
[5D, 7D, 9S, TC, AC]         [6S, 6H, QD, KH, AS]        player2 win
[6D, 7H, 8D, QH, AS]         [2S, 5C, 5H, TH, KH]        player2 win
[3D, 4C, 7C, TC, QC]         [2D, 4S, 8C, JS, KH]        player2 win
[5D, 5H, 6H, 7S, 9C]         [7H, 8S, 9H, TH, JH]        player2 win
[2S, JS, QD, KH, AS]         [4S, 8H, 8D, 8S, AC]        player2 win
[3H, 4C, 8C, TD, KD]         [2D, 5C, JC, JD, QS]        player2 win
[2C, 5D, 6C, 7D, TS]         [2H, 3C, QS, KS, AH]        player2 win
[4S, 7C, 7D, 9C, JH]         [5C, 6C, 8H, 9D, QD]        player1 win
[2S, 6D, 7S, 9C, TD]         [5C, 9S, QS, QH, KH]        player2 win
[6S, 9C, JC, JH, QH]         [2H, 7S, 8D, JS, KH]        player1 win
[4D, 5H, 8D, TH, KC]         [3S, 3D, 4S, 6S, QS]        player2 win
[2D, 4C, 7C, TD, JD]         [6D, 7S, TH, JC, AH]        player2 win
[4C, 7S, 9D, TH, QS]         [3H, 4D, 6H, TS, AD]        player2 win
[2D, 3H, 3D, 7D, JD]         [2S, 8S, 9C, QC, AS]        player1 win
[2C, 4H, 7S, 9H, 9C]         [5C, 5D, 6H, JH, KD]        player1 win
[3C, 8H, 9H, TC, JC]         [8D, 9S, KS, KC, AD]        player2 win
[5H, TS, JD, QS, QH]         [5D, 8D, QC, KH, AH]        player1 win
[4C, 5D, 6S, 8S, AS]         [7H, TH, QC, QD, AH]        player2 win
[3H, 4H, 4S, 6S, 7D]         [8H, 9H, 9D, JS, AS]        player2 win
[2C, 7D, 8C, 9D, JD]         [5H, 5S, 9S, JC, KD]        player2 win
[4S, 9C, QD, KD, AH]         [7C, 9D, TD, AD, AC]        player2 win
[4H, 4S, 6S, 8D, 9C]         [7C, 9D, TC, JH, KS]        player1 win
[4S, 5S, 5H, JC, QH]         [2C, 2S, 9S, JS, AC]        player1 win
[5H, 8C, QD, AS, AD]         [5C, 7D, 8S, TD, QC]        player1 win
[4C, 5C, 8D, JC, KH]         [2H, 2C, 4D, 6H, QS]        player2 win
[2D, 3H, 4S, TH, KC]         [7H, 9D, QD, AC, AD]        player2 win
[8H, TH, QD, KH, AS]         [7S, 8D, 8C, QH, KC]        player2 win
[6C, 7D, 8C, JC, KH]         [2H, 2D, 6S, QS, AD]        player2 win
[2D, 7D, JC, JS, KH]         [4C, 5H, 5D, QC, AD]        player1 win
[3S, 4S, TS, TD, AD]         [2D, 6S, 9H, TH, JH]        player1 win
[2D, 2C, 4S, 9H, QS]         [3D, 9D, KH, AS, AC]        player2 win
[4S, 6S, 8H, KH, KD]         [7D, 9D, TS, QD, QC]        player1 win
[5H, JH, KS, AH, AS]         [5S, JC, QC, KH, AD]        player1 win
[5D, 6D, 7D, KS, KD]         [3D, 3S, 4D, 7C, JD]        player1 win
[5H, 8D, 9C, JS, AC]         [2C, 3H, 4H, 4D, TS]        player2 win
[6H, 7C, 9D, KS, KH]         [2S, 2H, 3D, 6S, 8S]        player1 win
[3S, 6H, 7S, JS, AC]         [3H, 4H, 8H, TD, TH]        player2 win
[5C, 9H, TC, QC, KC]         [4H, 6H, 8S, KS, AC]        player2 win
[4S, 7D, TC, JC, QH]         [6D, 6C, TS, KH, AC]        player2 win
[7D, 7C, JH, QH, QS]         [3H, 5D, TH, QD, KS]        player1 win
[3D, 4C, 5S, 8D, JS]         [2C, 4H, 7H, 9C, KS]        player2 win
[2C, 4H, 5H, 8S, TD]         [3S, 3H, QD, QC, KC]        player2 win
[9C, JS, QC, KD, AD]         [5S, 7D, 7H, 9D, TS]        player2 win
[7C, 7S, 8C, JC, KH]         [2C, 6C, TS, TH, QD]        player2 win
[3C, 5S, 7S, 9D, TH]         [2H, 5H, 8S, 9C, QH]        player2 win
[2S, 5D, 6H, 9H, JS]         [2H, 3H, 5S, 7C, KH]        player2 win
[2C, 5D, 5S, TC, JD]         [2S, 3C, 6S, 6C, 8S]        player2 win
[2D, 4D, 4H, 8H, KH]         [2S, 3H, 5C, 9H, KS]        player1 win
[2D, 3S, 7H, 8S, TD]         [6H, 8D, 9C, JD, KC]        player2 win
[6S, 7C, 9H, JH, QD]         [5H, 8S, 8H, TH, TD]        player2 win
[7S, 7D, TD, TS, QS]         [2C, 3C, 7C, JC, KD]        player1 win
[2D, 3C, 4H, 8S, JD]         [2S, 4D, TD, AS, AC]        player2 win
[4C, 4S, 6C, KS, AH]         [6H, 7D, 8C, 9H, AS]        player1 win
[2C, 3C, 5S, 9S, QS]         [4D, 4S, 5D, KD, AC]        player2 win
[2D, 2C, TS, JS, KH]         [5D, 8C, QH, KC, AS]        player1 win
[3H, 6C, 8S, TH, KD]         [6H, 7S, 9S, KH, AC]        player2 win
[6H, 6C, 7S, QS, AH]         [2S, 2H, 4H, 5D, 5H]        player2 win
[2C, 2S, 5H, JC, QD]         [6S, 7D, JD, QC, AS]        player1 win
[6C, 8H, TC, KD, AS]         [2C, 7D, 9D, 9S, JH]        player2 win
[2H, 4C, 6C, 8S, AH]         [3H, 7C, TD, TH, TS]        player2 win
[4S, 6C, TS, QH, KD]         [7D, 8D, 9D, 9C, AH]        player2 win
[5C, 6D, JS, QD, QC]         [2H, 5D, 8C, 9C, KD]        player1 win
[3C, 6S, JH, QH, AD]         [6D, 6H, 8S, KC, AH]        player2 win
[3D, 4C, 5S, 7C, 7S]         [3S, 3C, 5H, 6S, JC]        player1 win
[3C, 3S, 5H, 7C, QH]         [4C, 8C, 9C, TS, KD]        player1 win
[3S, 5H, 7S, 7H, QD]         [7C, 8C, JC, QH, KD]        player1 win
